ingredient_code,file_type,original_filename,file_path,file_size
MAG-0009,COA,MAG-0009_Green Tea Ext_COA(ENG).pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0009_Green Tea Ext_COA(ENG).pdf,63511
MAG-0012,COA,MAG-0012 자몽추출물-PF_COA_111SWD.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0012 자몽추출물-PF_COA_111SWD.pdf,126818
MAG-0012,COA,MAG-0012_Grapefruit Extract-PF_COA(ENG)_107XWD.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0012_Grapefruit Extract-PF_COA(ENG)_107XWD.pdf,89160
MAG-0021,COA,MAG-0021_갈락토미세스 발효여과물.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0021_갈락토미세스 발효여과물.pdf,490718
MAG-0021,COA,MAG-0021_갈락토미세스발효여과물_영문COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0021_갈락토미세스발효여과물_영문COA.pdf,414642
MAG-0024,COA,MAG-0024_감귤추출물_COA(영문).pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0024_감귤추출물_COA(영문).pdf,250465
MAG-0024,COA,MAG-0024_감귤추출물_COA국문.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0024_감귤추출물_COA국문.pdf,260878
MAG-0026,COA,MAG-0026_검정콩추출물.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0026_검정콩추출물.pdf,613776
MAG-0027,COA,MAG-0027_L-Glutathione_Kaiping_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0027_L-Glutathione_Kaiping_COA.pdf,616208
MAG-0027,COA,MAG-0027_L-Glutathione_Kyowa_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0027_L-Glutathione_Kyowa_COA.pdf,603367
MAG-0028,COA,MAG-0028_녹차파우더 GB 3000.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0028_녹차파우더 GB 3000.pdf,205911
MAG-0029,COA,MAG-0029_가르니시아열매추출물.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0029_가르니시아열매추출물.pdf,583238
MAG-0030,COA,MAG-0030_금사연둥지.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0030_금사연둥지.pdf,650360
MAG-0031,COA,MAG-0031_GREEN WS-P HIGH_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0031_GREEN WS-P HIGH_COA.pdf,288135
MAG-0032,COA,MAG-0032_GINSENOSIDES SOLUTION_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0032_GINSENOSIDES SOLUTION_COA.pdf,238086
MAG-0032,COA,MAG-0032_Ginsenosides Solution_SPEC.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0032_Ginsenosides Solution_SPEC.pdf,83363
MAG-0033,COA,MAG-0033_ginsenoside_exosome__9_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0033_ginsenoside_exosome__9_COA.pdf,92997
MAH-0006,COA,MAH-0006_Rosemary Extract_COA(ENG).pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAH-0006_Rosemary Extract_COA(ENG).pdf,63339
MAH-0006,COA,MAH-0006_로즈마리추출물.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAH-0006_로즈마리추출물.pdf,293172
MAH-0008,COA,MAH-0008_Honey.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAH-0008_Honey.pdf,260844
MAH-0008,COA,MAH-0008_Honey_영문COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAH-0008_Honey_영문COA.pdf,833436
