ingredient_code,file_type,original_filename,file_path,file_size,file_extension
MAG-0024,COA,MAG-0024_감귤추출물_COA(영문).pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0024_감귤추출물_COA(영문).pdf,250465,.pdf
MAG-0024,COA,MAG-0024_감귤추출물_COA국문.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0024_감귤추출물_COA국문.pdf,260878,.pdf
MAG-0026,COA,MAG-0026_검정콩추출물.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0026_검정콩추출물.pdf,613776,.pdf
MAG-0027,COA,MAG-0027_L-Glutathione_Kaiping_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0027_L-Glutathione_Kaiping_COA.pdf,616208,.pdf
MAG-0027,COA,MAG-0027_L-Glutathione_Kyowa_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0027_L-Glutathione_Kyowa_COA.pdf,603367,.pdf
MAG-0028,COA,MAG-0028_녹차파우더 GB 3000.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0028_녹차파우더 GB 3000.pdf,205911,.pdf
MAG-0029,COA,MAG-0029_가르니시아열매추출물.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0029_가르니시아열매추출물.pdf,583238,.pdf
MAG-0030,COA,MAG-0030_금사연둥지.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0030_금사연둥지.pdf,650360,.pdf
MAG-0031,COA,MAG-0031_GREEN WS-P HIGH_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0031_GREEN WS-P HIGH_COA.pdf,288135,.pdf
MAG-0032,COA,MAG-0032_GINSENOSIDES SOLUTION_COA.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0032_GINSENOSIDES SOLUTION_COA.pdf,238086,.pdf
MAG-0032,COA,MAG-0032_Ginsenosides Solution_SPEC.pdf,d:\(주)에바스코스메틱 Dropbox\JI SEULKI\claude\@ongoing_LAB doc\200_연구실 문서 샘플\250930_COA (원료업체)\MAG-0032_Ginsenosides Solution_SPEC.pdf,83363,.pdf
