ingredient_code,ingredient_name,manufacturer,origin_country,purchase_type,purchase_method
MSF-0001,프레쥬 자연약쑥 클렌징 파우더,(주)케미랜드,(주)케미랜드,무작위,원료실
MCH-0001,HCY-OTS,(주)케미랜드,(주)케미랜드,무작위,원료실
MCH-0002,HCR-OTS,(주)케미랜드,(주)케미랜드,무작위,원료실
MCH-0003,HCB-OTS,(주)케미랜드,(주)케미랜드,무작위,원료실
MSG-0004,Glucamate DOE-120,NOveon,,무작위,원료실
MSG-0005,Glucate DO,Amerchol,이현화학,무작위,원료실
MSG-0006,Gransil WO,Grant Industries,,무작위,원료실
MSI-0001,ISELUX,Innospec,케미랜드,무작위,원료실
MSK-0001,KM-105C(GMS),광일,블루켐,무작위,원료실
MSK-0002,KC-SCI-80,Guangzhou Kexi Chemical,(주)아라현,무작위,원료실
MSL-0001,Lecinol S-10,Nikko Chem,케이에스켐,무작위,원료실
MSM-0003,Micolin ES-430,미원상사,미원상사,무작위,원료실
MSM-0004,Micolin S-430,미원상사,미원상사,무작위,원료실
MSM-0005,Micolin T-430,미원상사,미원상사,무작위,원료실
MSM-0011,Micopol LDE,미원상사,미원상사,무작위,원료실
MSM-0013,Mitain CA-GF,미원상사,미원상사,무작위,원료실
MSM-0023,Miconol C2M,미원상사,미원상사,무작위,원료실
MSM-0024,Miconium STAC-30,미원상사,미원상사,무작위,원료실
MSM-0025,Micolin A-526,미원화학주식회사,미원화학주식회사,무작위,원료실
MSM-0026,Micolin EA-525(S),미원화학주식회사,미원화학주식회사,무작위,원료실
MSM-0027,Micopol CME,미원상사,미원상사,무작위,원료실
MSM-0028,Micopol CIP,미원상사,미원상사,무작위,원료실
MSM-0029,Miconate LES(H),미원상사,미원상사,무작위,원료실
MOS-0028,Seabuckthorn Oil,Deyang Yiyang Biochem ,케미랜드,무작위,원료실
MOS-0029,SM Jacho Oil,(주)즐거운회사,(주)즐거운회사,무작위,원료실
MSM-0030,Miconium BTAC80,미원상사,미원상사,무작위,원료실
MSM-0031,Micomin SAPDA,미원상사,미원상사,무작위,원료실
MSM-0032,Miami SCG(P),미원상사,미원상사,무작위,원료실
MSM-0033,Miami LS190(F),미원상사,미원상사,무작위,원료실
MSM-0034,Micopol CMM,미원상사,미원상사,무작위,원료실
MSM-0035,Miconate SLSA,미원상사,미원상사,무작위,원료실
MSM-0036,Mirataine BB/FLA,솔베이,(주)비즈켐,무작위,원료실
MSM-0037,Micolin AOS 35,미원상사,미원상사,무작위,원료실
MSN-0001,Nikkol BB-10,Nikko Chem,풍림무약,무작위,원료실
MSN-0002,Nikkol CIO,Nikko Chem,이현에프앤씨,무작위,원료실
MSN-0003,Nikkol DHC-30,Nikko Chem,풍림무약,무작위,원료실
MSN-0011,Nikkol HCO-60(의약),Nikko Chem,㈜이현에프앤씨,무작위,원료실
MSO-0003,Olivem 300,B&T S.r.l,하나무역,무작위,원료실
MSO-0004,Olivem 900,B&T S.r.l,하나무역,무작위,원료실
MSO-0005,Olivem 700,B&T S.r.l,하나무역,무작위,원료실
MSO-0006,Olivem 1000,HALLSTAR,하나무역,무작위,원료실
MSP-0001,PEG-1500,Sanyo,해피콜,무작위,원료실
MSP-0002,PEG-400 ,Sanyo,해피콜,무작위,원료실
MSP-0003,PEG-4000,Sanyo,해피콜,무작위,원료실
MSP-0004,Plantacare 2000 UP,D-BASF,라비오,무작위,원료실
MSP-0005,LKPeptimo AGK,PEPTIMO,파인트리케미칼,무작위,원료실
MSP-0006,Pureact WS Conc,Innospec,(주)케미랜드,무작위,원료실
MSP-0007,Polyaquol-2W,innovacos,아라현,무작위,원료실
MSP-0008,Polyaquol-LW,innovacos,한주씨앤씨,무작위,원료실
MSP-0009,Plurol Isostearique,Gattefosse,다미화학,무작위,원료실
MSR-0002,Rheodol TW-L120,KAO,미성코스메틱㈜,무작위,원료실
MSR-0003,Rheodol 430V,KAO,(주)블루켐,무작위,원료실
MSS-0003,MEDLAN 75,Medolla,파인트리케미칼,무작위,원료실
