id,ingredient_code,component_order,inci_name_en,inci_name_kr,cas_number,composition_ratio,function,country_of_origin,created_at
0f92a9a2-dd0a-4ded-bac1-fbeefc6fbd37,MAP-0020,2,Butylene Glycol,부틸렌글라이콜,107-88-0,40.0000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
0fbb3071-4f03-47d5-8caf-96c08eb8d78b,MKM-0004,3,Sodium Benzoate,소듐벤조에이트,532-32-1,0.4000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:18.006524+00
0fbd0a86-7fc8-43b1-b454-5af7ab905c28,MFB-0053,1,Fragrance,향료,-,100.0000,Fragrance,대한민국,2026-01-28 16:37:16.589765+00
100061b3-369f-4811-9069-4f9b3ebe97b9,MAB-0016,3,"1,2-Hexanediol","1,2-헥산다이올",6920-22-5,3.0000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
1009e28a-37ca-47b1-9ef1-92cc6b816125,MAP-0016,12,Citric Acid,왕귤추출물,77-92-9,0.0000,Skin Conditioning Agent,,2026-01-28 16:37:16.589765+00
100b7dea-e457-4f39-a150-dcf946344199,MPS-0001,1,Caprylhydroxamic Acid,카프릴하이드록사믹애씨드,7377-03-09,0.0000,Skin Conditioning Agent,미국,2026-01-28 16:37:18.006524+00
100ffbe0-1986-4097-a08e-5c46c9c91243,MFP-0038,1,Fragrance,향료,8006-90-4,100.0000,"Fragrance, Skin Conditioning Agent",,2026-01-28 16:37:18.006524+00
105207b3-b6d0-4f0f-9d07-841213c1c48f,MAP-0011,3,Hydrolyzed Silk,하이드롤라이즈드실크,73049-73-7,6.5000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
106433e7-09b0-4314-af75-1bc219613c3d,MAA-0039,1,Water,정제수,7732-18-5,59.9000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
1081be9d-122a-4e24-abdf-f83da3638d3d,MAE-0014,2,2,,6920-22-5,0.0000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
1085334d-4443-4335-909f-599e7ec1877f,MDE-0001,2,Triethoxycaprylylsilane,트라이에톡시카프릴릴실레인,2943-75-1,0.0000,Bulking Agents,,2026-01-28 16:37:16.589765+00
10885daf-a93b-4e59-9570-8bcc2cb96dee,MAC-0040,3,Centella Asiatica Leaf Extract,병풀잎추출물,84696-21-9,20.0000,Skin Conditioning Agent,중국,2026-01-28 16:37:16.589765+00
109386a5-760c-4d73-94eb-c240d2d17280,MCH-0003,2,Triethoxycaprylylsilane,트라이에톡시카프릴릴실레인,,3.0000,Colorant,대한민국,2026-01-28 16:37:18.006524+00
109cc1f2-e691-44d3-be0d-d5ea923c9f45,MAU-0002,3,Farnesol,파네솔,4602-84-0,0.0000,Skin Conditioning Agent,대한민국,2026-01-28 16:37:16.589765+00
10d780c8-0ef8-4a56-b00b-4d655f17bfe6,MAW-0002,3,Camellia Sinensis Leaf Extract,녹차추출물,84650-60-2,5.0000,Skin Conditioning Agent,,2026-01-28 16:37:16.589765+00
