공급업체,향료코드,향료명,알러젠명,INCI명,CAS번호,향료중함량,제품중함량,Leave-on라벨,Rinse-off라벨,파일명
한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,METHYL HEPTINE CARBONATE,METHYL HEPTINE CARBONATE,111-12-6,,,,,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,OAKMOSS EXTRACT,OAKMOSS EXTRACT,90028-68-5,,,,,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,TREEMOSS EXTRACT,TREEMOSS EXTRACT,90028-67-4,,,,,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
한불화농 향알러지데이타 20190307,00134,CITRUS FLORAL 4P00134,* 함량이 0으로 표기된 경우라도 사용된 원료의 BY-PRODUCT나 IMPURITY로부터 소량의 ALLERGEN 성분이 검출될 수 있습니다.,* 함량이 0으로 표기된 경우라도 사용된 원료의 BY-PRODUCT나 IMPURITY로부터 소량의 ALLERGEN 성분이 검출될 수 있습니다.,,,,,,CITRUS FLORAL 4P00134 ALLERGEN(LF).xlsx
한불화농 향알러지데이타 20190307,04546,FLORAL FRESH 15P04546,ALPHA-ISOMETHYL IONONE,ALPHA-ISOMETHYL IONONE,127-51-5,,,,,FLORAL FRESH 15P04546 ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,04546,FLORAL FRESH 15P04546,AMYL CINNAMAL,AMYL CINNAMAL,122-40-7,,,,,FLORAL FRESH 15P04546 ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,04546,FLORAL FRESH 15P04546,AMYLCINNAMYL ALCOHOL,AMYLCINNAMYL ALCOHOL,101-85-9,,,,,FLORAL FRESH 15P04546 ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,04546,FLORAL FRESH 15P04546,ANISYL ALCOHOL,ANISYL ALCOHOL,105-13-5,,,,,FLORAL FRESH 15P04546 ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,04546,FLORAL FRESH 15P04546,BENZYL ALCOHOL,BENZYL ALCOHOL,100-51-6,,,,,FLORAL FRESH 15P04546 ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,04546,FLORAL FRESH 15P04546,BENZYL BENZOATE,BENZYL BENZOATE,120-51-4,,,,,FLORAL FRESH 15P04546 ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,04546,FLORAL FRESH 15P04546,BENZYL CINNAMATE,BENZYL CINNAMATE,103-41-3,,,,,FLORAL FRESH 15P04546 ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,04546,FLORAL FRESH 15P04546,BENZYL SALICYLATE,BENZYL SALICYLATE,118-58-1,,,,,FLORAL FRESH 15P04546 ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,04546,FLORAL FRESH 15P04546,CINNAMAL,CINNAMAL,104-55-2,,,,,FLORAL FRESH 15P04546 ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,04546,FLORAL FRESH 15P04546,CINNAMYL ALCOHOL,CINNAMYL ALCOHOL,104-54-1,,,,,FLORAL FRESH 15P04546 ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,04546,FLORAL FRESH 15P04546,CITRAL,CITRAL,5392-40-5,,,,,FLORAL FRESH 15P04546 ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,04546,FLORAL FRESH 15P04546,CITRONELLOL,CITRONELLOL,106-22-9,,,,,FLORAL FRESH 15P04546 ALLERGEN.xlsx
한불화농 향알러지데이타 20190307,04546,FLORAL FRESH 15P04546,COUMARINE,COUMARINE,91-64-5,,,,,FLORAL FRESH 15P04546 ALLERGEN.xlsx
