id,product_code,source_filename,product_name,batch_number,batch_unit,dept_name,actual_qty,mfg_date,operator,approver_1,approver_2,approver_3,notes_content,total_time,special_notes,step_count
099a3816-c09e-4a75-ae56-a9726dc33051,PDHW000,PDHW_페디슨 옴므인티메이트워시오리지날.xlsx,페디슨 옴므 인티메이트 워시 오리지날,,Kg,,Kg,,,결 재,담 당,부서장,,,,7
6baf98ec-1444-4177-bb26-fe6425e43b1a,PDIC000,PDIC000_페디슨 뉴트리티브인퓨젼크림.xlsx,페디슨 뉴트리티브 인퓨젼 크림,,Kg,,Kg,,,결 재,담 당,부서장,,,*메인탱크에 투입시 100메쉬 여과 거칠 것,11
e236c5b3-3ccf-40fc-bb94-3f5245e9aab8,PDIR______,PDIR011-012_페디슨 락토 페미닌클렌저.xlsx,페디슨 락토 페미닌 클렌저 (거품타입),,Kg,,Kg,,,결 재,담 당,부서장,,,,7
7dd13468-1433-4f88-9e0e-88a2e4412842,PDIR______,PDIR_페디슨 메터니티퓨어페미닌클렌저_거품타입.xlsx,(거품타입),,Kg,,Kg,,,결 재,담 당,부서장,,,,7
c817d953-f63f-4a16-87a7-2d094fd5622c,PDIR____,PDIR_페디슨 메터니티퓨어페미닌클렌저_펌프타입.xlsx,(펌프타입),,Kg,,Kg,,,결 재,담 당,부서장,,,,8
1ec0935b-b4ba-49f1-8533-9d366861cb7d,PDLB001,PDLB_페디슨 뉴트리티브인퓨젼립수딩밤.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,,,,5
60387c53-d30e-4e7c-ad18-746da59b094d,PDML001,PDML001_페디슨 뉴트리티브인퓨전모이스처로션.xlsx,페디슨 뉴트리티브 인퓨전 모이스처 로션,,Kg,,Kg,,,결 재,담 당,부서장,,,*메인탱크에 투입시 100메쉬 여과 거칠 것,9
1565e118-6335-47a3-b04a-8fdd03de96cf,PDRS004,PDRS_페디슨 인스티튜트보떼 컨디셔너.xlsx,페디슨 인스티튜트-보떼 망고리치 LPP 트리트먼트,,Kg,,Kg,,,결 재,담 당,부서장,,,,9
3b6a7a23-84b4-4c9c-af24-c5ad40ffb64e,PDSG005,PDSG_페디슨 매터니티에스모이스트겔 외.xlsx,페디슨 차전궁 프레쉬 버진겔,,Kg,,Kg,,,결 재,담 당,부서장,* 메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,10
4d6b4ac5-9957-4bf1-b44d-3fe2cbe5e681,PDSL001,PDSL001_페디슨 아로마틱카밍토너.xlsx,페디슨 아로마틱 카밍 토너,,Kg,,Kg,,,결 재,담 당,부서장,특히 동절기에 상온(30-35도)상태의 공정을 유지해야 투명하게 제조된다.,,,2
5faf2709-026c-443e-b2dc-d05234ba8adf,PDSP003,PDSP_페디슨 인스티튜트보떼 샴푸.xlsx,페디슨 인스티튜트 보떼 한방 뿌리 케어 샴푸,,Kg,,Kg,,,결 재,담 당,부서장,,,,2
16dc89f9-654f-44d0-9d8f-cf5107fa50f2,PFSP000,PFSP000_프로페이스 더패스트샴푸.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,,,,6
351799a3-cf27-4850-a3a6-0449f6970f88,PFSPR00,PFSPR00_블루밍보떼 더패스트샴푸.xlsx,,,Kg,,Kg,,,결 재,담 당,부서장,,,,6
9168098a-47cf-43a4-89fa-16f4090cf2b0,PNWS001,PNWS001_푸아나니 인티메이트워시포맨.xlsx,푸아나니 인팀이트 포밍 워시 포맨,,Kg,,Kg,,,결 재,담 당,부서장,,,,7
625a2dbc-2e28-4b13-bf17-3ff798f937d5,PTAP001,PTAP001_판테스틱 더마시카에이씨수딩앰플.xlsx,판테스틱 더마 시카 에이씨 수딩 앰플,,Kg,,Kg,,,결 재,담 당,부서장,,,*메인탱크에 투입시 100메쉬 여과 거칠 것 *탈포상태 확인할 것.,10
2c6fb82a-62db-43df-8e13-53835f2680f4,PTBC002,PTBC002_판테스틱 더마시카아크네클렌저.xlsx,판테스틱 더마 시카 아크네 클렌저,,Kg,,Kg,,,결 재,담 당,부서장,,,,8
07c56006-b0c3-4f12-8e5c-2a645037aa5c,PTBL001,PTBL001_판테스틱더마시카AC로션.xlsx,판테스틱 더마 시카 AC로션,,Kg,,Kg,,,결 재,담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것,총소요시간,,10
389ed7b7-f224-4f45-b0f5-5b216d152345,PTEF003,PTEF_판테스틱 원더필 이펙터 3종.xlsx,판테스틱 원더필 클리어링 이펙터,,Kg,,Kg,,,결 재,담 당,부서장,*투명 점액상,,,6
974c74b4-f1f5-44de-8bd6-94f5837510c1,PTFC001,PTFC_판테스틱 더마시카아크네클렌징폼.xlsx,판테스틱 더마 시카 아크네 클렌징폼,,Kg,,Kg,,,결 재,담 당,부서장,*메인탱크에 투입시 100메쉬 여과 거칠 것 *가급적 기포생성을 줄일 것,총소요시간,* 기포발생주의. 완전탈포. 종료온도 엄수. 부상전 샘플채취해 파우더 완전용해 확인할 것. * 제조량 책정시 가마 여유공간 고려할 것 (최대 700kg),8
