id,allergen_name,inci_name,cas_no
84ab12a5-7461-4122-9bc6-aae24edc0b6c,*함량이 빈 칸으로 표기된 경우라도 사용된 원료의 BY-PRODUCT나 IMPURITY로부터 소량의 ALLERGEN 성분이 검출될 수 있습니다.,*함량이 빈 칸으로 표기된 경우라도 사용된 원료의 BY-PRODUCT나 IMPURITY로부터 소량의 ALLERGEN 성분이 검출될 수 있습니다.,
7540e6b6-1bd3-4920-8e47-c7d4c29af7b1,AMYLCINNAMYL ALCOHOL,AMYLCINNAMYL ALCOHOL,101-85-9
93847469-970f-4f61-8e38-8a89561304fe,HEXYL CINNAMAL,HEXYL CINNAMAL,101-86-0
8648eef6-81f5-43bc-8f66-700a038e8705,METHYL HEPTINE CARBONATE,METHYL HEPTINE CARBONATE,111-12-6
dcc0487e-bb79-4f7d-9f74-e12043be92ac,OAKMOSS EXTRACT,OAKMOSS EXTRACT,90028-68-5
7d8f4607-189f-4cb9-bcd6-9f55178a6957,Alpha-isomethyl Ionone,Alpha-isomethyl Ionone,127-51-5
524ded0e-ac4a-4ec0-b46a-380eb3b9e652,Amyl Cinamyl Alcohol,Amyl Cinamyl Alcohol,101-85-9
e59f3155-702b-4755-8ef3-d4145d111a28,Anise Alcohol,Anise Alcohol,105-13-5
51fb83a0-9c62-4faf-ba10-ad835730eaff,Citral,Citral,5392-40-5
f21d51bc-413b-4bdd-8816-a5a2b4b7dea2,Citronellol,Citronellol,106-22-9
cfb55dd9-c65b-45be-8e2c-2adcca2359f6,Evernia furfuracea (Treemoss) Extract,Evernia furfuracea (Treemoss) Extract,90028-67-4
37a84087-fa3b-4822-b128-688c80ec711d,Evernia prunastri (Oakmoss) Extract,Evernia prunastri (Oakmoss) Extract,90028-68-5
662a4c22-a69a-424c-aa12-a7e80c64041a,Hydroxyisohexyl 3-cyclohexene Carboxaldehyde,Hydroxyisohexyl 3-cyclohexene Carboxaldehyde,31906-04-4
10b9b0e6-2dd4-44f0-b7d6-1a3caf2473af,Isoeugenol,Isoeugenol,97-54-1
def5c1ef-8efd-417e-9f75-bc6eb56401b8,Limonene,Limonene,5989-27-5
